id,conversation_id,sendable_id,sendable_type,reply_id,body,type,kept_at,deleted_at,created_at,updated_at
171,32,660938,App\Models\Customer,,La CM06 q precio tiene?,text,,,2025-12-20 17:06:35,2025-12-20 17:06:35
172,32,660938,App\Models\Customer,,Cual es la diferencia con la CM08?,text,,,2025-12-20 17:07:22,2025-12-20 17:07:22
173,32,660938,App\Models\Customer,,Ok,text,,,2025-12-20 17:08:29,2025-12-20 17:08:29
174,32,660938,App\Models\Customer,,Q soporte técnico hay en Colombia?,text,,,2025-12-20 17:08:53,2025-12-20 17:08:53
175,32,660938,App\Models\Customer,,La máquina viene ensamblada?,text,,,2025-12-20 17:10:09,2025-12-20 17:10:09
176,32,660938,App\Models\Customer,,Tiempos de entrega?,text,,,2025-12-20 17:11:21,2025-12-20 17:11:21
177,32,660938,App\Models\Customer,,Para la MD06,text,,,2025-12-20 17:11:43,2025-12-20 17:11:43
178,32,660938,App\Models\Customer,,Ok,text,,,2025-12-20 17:12:35,2025-12-20 17:12:35
179,32,660938,App\Models\Customer,,Gracias,text,,,2025-12-20 17:15:19,2025-12-20 17:15:19
180,33,673585,App\Models\Customer,,Estoy enoezando,text,,,2025-12-20 17:18:27,2025-12-20 17:18:27
181,32,660938,App\Models\Customer,,Ok,text,,,2025-12-20 17:26:38,2025-12-20 17:26:38
182,34,673589,App\Models\Customer,,E hecho empanadas a mano y me gustaría volver a fabricar con una máquina de estás que usted ofrece me interesa saber más y sus precios,text,,,2025-12-20 18:04:05,2025-12-20 18:04:05
183,34,673589,App\Models\Customer,,Estoy evaluando una idea,text,,,2025-12-20 18:15:18,2025-12-20 18:15:18
184,34,673589,App\Models\Customer,,Empanadas de maíz,text,,,2025-12-20 18:16:50,2025-12-20 18:16:50
185,34,673589,App\Models\Customer,,Me gustaría más de 200,text,,,2025-12-20 18:18:20,2025-12-20 18:18:20
186,34,673589,App\Models\Customer,,Armenia Quindio Colombia,text,,,2025-12-20 18:18:54,2025-12-20 18:18:54
187,34,673589,App\Models\Customer,,Envíame la ficha técnica para conocer la maquina,text,,,2025-12-20 18:21:07,2025-12-20 18:21:07
188,34,673589,App\Models\Customer,,Ok te agradezco la información en cualquier momento nos volvemos a comunicar ya que me interesa,text,,,2025-12-20 18:23:42,2025-12-20 18:23:42
189,34,673589,App\Models\Customer,,Muchas gracias por su atención feliz noche,text,,,2025-12-20 18:25:44,2025-12-20 18:25:44
190,35,673592,App\Models\Customer,,Estoy empezando,text,,,2025-12-20 19:29:40,2025-12-20 19:29:40
191,35,673592,App\Models\Customer,,Todos,text,,,2025-12-20 19:30:29,2025-12-20 19:30:29
192,35,673592,App\Models\Customer,,Entre 150 y 200,text,,,2025-12-20 19:31:43,2025-12-20 19:31:43
193,35,673592,App\Models\Customer,,Colombia granada meta,text,,,2025-12-20 19:33:07,2025-12-20 19:33:07
194,36,673593,App\Models\Customer,,Voy a empezar,text,,,2025-12-20 19:52:06,2025-12-20 19:52:06
195,36,673593,App\Models\Customer,,Voy a empezar,text,,,2025-12-20 19:52:54,2025-12-20 19:52:54
196,36,673593,App\Models\Customer,,Una cafetería,text,,,2025-12-20 19:53:12,2025-12-20 19:53:12
197,36,673593,App\Models\Customer,,Y vender arepas y empanadas,text,,,2025-12-20 19:53:31,2025-12-20 19:53:31
198,36,673593,App\Models\Customer,,Sii,text,,,2025-12-20 19:54:26,2025-12-20 19:54:26
199,36,673593,App\Models\Customer,,Empezar con 250,text,,,2025-12-20 19:54:36,2025-12-20 19:54:36
200,36,673593,App\Models\Customer,,"Colombia 
Departamento de CORDOBA 
Municipio de Montelibano",text,,,2025-12-20 19:55:34,2025-12-20 19:55:34
201,36,673593,App\Models\Customer,,,attachment,,,2025-12-20 19:56:10,2025-12-20 19:56:10
202,36,673593,App\Models\Customer,,Envíame la ficha técnica,text,,,2025-12-20 19:58:23,2025-12-20 19:58:23
203,37,530192,App\Models\Customer,,https://cocacola.com@sktn.xyz/premiocoke-26,text,,,2025-12-20 20:25:39,2025-12-20 20:25:39
204,38,128253,App\Models\Customer,,A mano,text,,,2025-12-21 02:26:42,2025-12-21 02:26:42
205,39,673597,App\Models\Customer,,"Hola como estas en que te ayudamos.
¿Quieres ver nuestro catálogo?",text,,,2025-12-21 07:07:43,2025-12-21 07:07:43
206,40,673597,App\Models\Customer,,"Disculpe en el momento no estamos disponibles pero déjame tu mensaje apenas lo vea te responderemos.
Dios te bendiga 🙏.",text,,,2025-12-21 07:07:43,2025-12-21 07:07:43
207,39,673597,App\Models\Customer,,"Como ests camilo buenos días, actualmente tengo un negocio vendo empanadas pero no las fabrico, que costo tiene la maquina mas prqueña",text,,,2025-12-21 07:10:29,2025-12-21 07:10:29
208,39,673597,App\Models\Customer,,?,text,,,2025-12-21 07:18:24,2025-12-21 07:18:24
209,23,440639,App\Models\Customer,,https://youtu.be/vtwM73OH9GU?si=JCMtIYyJbOhZKnmX,text,,,2025-12-21 07:48:43,2025-12-21 07:48:43
210,41,673581,App\Models\Customer,,"Hola,, a mano",text,,,2025-12-21 08:04:28,2025-12-21 08:04:28
211,41,673581,App\Models\Customer,,A mano,text,,,2025-12-21 08:05:15,2025-12-21 08:05:15
212,41,673581,App\Models\Customer,,Trigo,text,,,2025-12-21 08:06:05,2025-12-21 08:06:05
213,42,673598,App\Models\Customer,,Estoy esperando,text,,,2025-12-21 08:06:09,2025-12-21 08:06:09
214,41,673581,App\Models\Customer,,Quisiera producir 100,text,,,2025-12-21 08:07:18,2025-12-21 08:07:18
215,41,673581,App\Models\Customer,,Ecuador ciudad Cuenca,text,,,2025-12-21 08:07:57,2025-12-21 08:07:57
216,42,673598,App\Models\Customer,,No quiero aprender primero,text,,,2025-12-21 08:07:58,2025-12-21 08:07:58
217,42,673598,App\Models\Customer,,No estoy asiendo nada,text,,,2025-12-21 08:08:14,2025-12-21 08:08:14
218,42,673598,App\Models\Customer,,No sé aconsejame,text,,,2025-12-21 08:10:29,2025-12-21 08:10:29
219,42,673598,App\Models\Customer,,Estoy en Bogotá,text,,,2025-12-21 08:10:44,2025-12-21 08:10:44
220,42,673598,App\Models\Customer,,Con trigo,text,,,2025-12-21 08:12:09,2025-12-21 08:12:09
221,42,673598,App\Models\Customer,,Empanadas y pastey,text,,,2025-12-21 08:12:43,2025-12-21 08:12:43
222,42,673598,App\Models\Customer,,500,text,,,2025-12-21 08:13:00,2025-12-21 08:13:00
223,42,673598,App\Models\Customer,,Omas,text,,,2025-12-21 08:13:05,2025-12-21 08:13:05
224,42,673598,App\Models\Customer,,Si,text,,,2025-12-21 08:13:13,2025-12-21 08:13:13
225,42,673598,App\Models\Customer,,Ok como,text,,,2025-12-21 08:13:52,2025-12-21 08:13:52
226,42,673598,App\Models\Customer,,Colombia,text,,,2025-12-21 08:13:54,2025-12-21 08:13:54
227,42,673598,App\Models\Customer,,Bogotá,text,,,2025-12-21 08:14:15,2025-12-21 08:14:15
228,42,673598,App\Models\Customer,,Ficha,text,,,2025-12-21 08:14:49,2025-12-21 08:14:49
229,39,673597,App\Models\Customer,,Las compro preparadas,text,,,2025-12-21 08:24:28,2025-12-21 08:24:28
230,39,673597,App\Models\Customer,,Todos,text,,,2025-12-21 08:25:11,2025-12-21 08:25:11
231,39,673597,App\Models\Customer,,Sobre 200,text,,,2025-12-21 08:26:01,2025-12-21 08:26:01
232,39,673597,App\Models\Customer,,Cota Cundinamarca,text,,,2025-12-21 08:26:29,2025-12-21 08:26:29
233,39,673597,App\Models\Customer,,Colombia,text,,,2025-12-21 08:26:36,2025-12-21 08:26:36
234,39,673597,App\Models\Customer,,Muchas gracias,text,,,2025-12-21 08:27:52,2025-12-21 08:27:52
235,43,649266,App\Models\Customer,,,attachment,,,2025-12-21 10:23:08,2025-12-21 10:23:08
